Number_of_Travelers,Budget,Area_of_Interest,Warm,Transportation_Mode,Recommendation
25,68000,Lakeside,Moderate,Public Transport,"Bolgoda Lake, Colombo"
3,60000,Historical Site,Moderate,Bikes,"Polonnaruwa, Polonnaruwa"
3,33000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
22,100000,Historical Site,Moderate,Rosa Bus,"Galle Fort, Galle"
25,200000,Lakeside,Moderate,Public Transport,"Sorabora Wewa, Mahiyanganaya"
24,180000,Beach,Warm,Rosa Bus,"Polhena Beach, Matara"
24,190000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
22,25000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
7,120000,Beach,Warm,Van,"Dickwella Beach, Dickwella"
19,120000,City,Moderate,Public Transport,"Kurunegala City, Kurunegala"
14,50000,City,Moderate,Public Transport,"Kandy City, Kandy"
12,17000,Beach,Warm,Van,"Rekawa Beach, Hambantota"
12,65000,Mountains,Cool,Bikes,"Lipton�s Seat, Haputale"
3,50000,City,Hot,Rosa Bus,"Jaffna City, Jaffna"
8,110000,City,Moderate,Bikes,"Galle City, Galle"
5,80000,City,Moderate,Public Transport,"Ratnapura City, Ratnapura"
21,70000,Forest,Tropical,Public Transport,"Makandawa Forest Reserve, Kitulgala"
7,200000,Beach,Warm,Public Transport,"Weligama Beach, Weligama"
1,170000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
14,85000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
18,33000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
11,200000,Forest,Tropical,Bikes,"Sinharaja Forest Reserve, Deniyaya"
16,100000,Mountains,Cool,Rosa Bus,"Ella Rock, Ella"
15,65000,National Park,Cool,Rosa Bus,"Galway�s Land National Park, Nuwara Eliya"
16,45000,City,Moderate,Public Transport,"Negombo City, Negombo"
11,140000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
5,17000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
18,85000,Forest,Tropical,Public Transport,"Meemure, Kandy"
2,2700,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
2,19000,National Park,Cool,Rosa Bus,"Galway�s Land National Park, Nuwara Eliya"
9,180000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Matale"
2,3200,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
19,40000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
7,38000,Mountains,Cool,Van,"Devon Falls, Nuwara Eliya"
5,68000,Lakeside,Moderate,Public Transport,"Madu River, Balapitiya"
1,120000,Forest,Tropical,Rosa Bus,"Dunhinda Falls, Badulla"
16,35000,Forest,Tropical,Rosa Bus,"Kanneliya Forest Reserve, Galle"
2,85000,Historical Site,Moderate,Bikes,"Aluvihare Rock Temple, Matale"
13,44000,National Park,Warm,Bikes,"Udawalawe National Park, Udawalawe"
6,120000,Mountains,Warm,Van,"Pidurangala, Sigiriya"
16,44000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
7,11000,Beach,Warm,Public Transport,"Mount Lavinia Beach, Mount Lavinia"
12,25000,Mountains,Cool,Bikes,"Ravana Falls, Ella"
22,140000,Lakeside,Moderate,Public Transport,"Beira Lake, Colombo"
20,60000,Beach,Warm,Public Transport,"Marble Beach, Trincomalee"
12,160000,Beach,Warm,Rosa Bus,"Rekawa Beach, Hambantota"
2,80000,Mountains,Warm,Rosa Bus,"Ritigala, Ritigala"
4,44000,Historical Site,Moderate,Rosa Bus,"Aluvihare Rock Temple, Matale"
5,180000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
8,100000,Desert,Hot,Van,"Delft Island, Jaffna"
13,100000,City,Moderate,Bikes,"Negombo City, Negombo"
7,180000,Mountains,Cool,Public Transport,"Horton Plains National Park, Nuwara Eliya"
11,38000,Desert,Hot,Van,"Delft Island, Jaffna"
22,44000,Mountains,Cool,Public Transport,"Ella Rock, Ella"
2,25000,Desert,Hot,Van,"Delft Island, Jaffna"
16,25000,City,Hot,Public Transport,"Jaffna City, Jaffna"
21,100000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
3,120000,Historical Site,Moderate,Public Transport,"Thuparamaya, Anuradhapura"
21,90000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
9,50000,Beach,Warm,Van,"Jungle Beach, Unawatuna"
6,14000,Lakeside,Moderate,Van,"Kala Wewa, Anuradhapura"
18,38000,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
9,48000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
12,22000,Desert,Hot,Van,"Delft Island, Jaffna"
15,30000,City,Moderate,Rosa Bus,"Matara City, Matara"
3,100000,Forest,Tropical,Bikes,"Makandawa Forest Reserve, Kitulgala"
9,130000,Lakeside,Moderate,Bikes,"Koggala Lake, Koggala"
12,30000,Lakeside,Moderate,Van,"Madu River, Balapitiya"
23,65000,Desert,Hot,Bikes,"Delft Island, Jaffna"
21,60000,Mountains,Cool,Rosa Bus,"Thotupola Kanda, Nuwara Eliya"
16,130000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
16,25000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
1,1400,Forest,Tropical,Van,"Dunhinda Falls, Badulla"
10,68000,Forest,Tropical,Van,"Sinharaja Forest Reserve, Deniyaya"
25,100000,City,Moderate,Rosa Bus,"Galle City, Galle"
13,38000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
17,20000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
10,14000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
18,90000,Mountains,Cool,Bikes,"Ravana Falls, Ella"
11,28000,Mountains,Cool,Public Transport,"Ella Rock, Ella"
1,3250,Lakeside,Moderate,Car,"Koggala Lake, Koggala"
23,48000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
6,80000,Forest,Tropical,Rosa Bus,"Dunhinda Falls, Badulla"
8,17000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
9,19000,Forest,Tropical,Bikes,"Meemure, Kandy"
7,12000,Mountains,Cool,Public Transport,"Ella Rock, Ella"
24,30000,Mountains,Warm,Bikes,"Pidurangala, Sigiriya"
11,90000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
15,40000,Mountains,Cool,Rosa Bus,"Kirigalpotta, Nuwara Eliya"
6,7000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
9,65000,City,Moderate,Van,"Colombo City, Colombo"
1,4000,Desert,Hot,Van,"Delft Island, Jaffna"
21,65000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
11,140000,City,Moderate,Public Transport,"Matara City, Matara"
25,150000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
18,45000,Beach,Warm,Rosa Bus,"Bentota Beach, Bentota"
6,14000,National Park,Warm,Public Transport,"Yala National Park, Yala"
6,33000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
12,100000,Lakeside,Moderate,Van,"Beira Lake, Colombo"
18,190000,Beach,Warm,Bikes,"Mount Lavinia Beach, Mount Lavinia"
8,16000,National Park,Warm,Van,"Wasgamuwa National Park, Wasgamuwa"
10,30000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
20,22000,Mountains,Cool,Public Transport,"Little Adam's Peak, Ella"
1,4000,Beach,Warm,Public Transport,"Mirissa Beach, Mirissa"
15,110000,City,Cool,Bikes,"Nuwara Eliya City, Nuwara Eliya"
17,110000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
16,19000,Mountains,Cool,Rosa Bus,"Lipton�s Seat, Haputale"
16,25000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
12,16000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
12,90000,Lakeside,Moderate,Van,"Beira Lake, Colombo"
18,100000,Desert,Hot,Bikes,"Delft Island, Jaffna"
24,140000,Historical Site,Moderate,Bikes,"Dambulla Cave Temple, Dambulla"
1,5000,Lakeside,Moderate,Van,"Parakrama Samudra, Polonnaruwa"
25,100000,City,Moderate,Rosa Bus,"Ratnapura City, Ratnapura"
1,70000,Historical Site,Moderate,Car,"Galle Fort, Galle"
12,200000,Lakeside,Moderate,Rosa Bus,"Kala Wewa, Anuradhapura"
2,160000,Lakeside,Moderate,Van,"Parakrama Samudra, Polonnaruwa"
1,48000,National Park,Warm,Car,"Wilpattu National Park, Wilpattu"
18,24000,Historical Site,Moderate,Bikes,"Mihintale, Mihintale"
20,24000,City,Moderate,Public Transport,"Kurunegala City, Kurunegala"
12,180000,National Park,Warm,Bikes,"Yala National Park, Yala"
1,50000,Historical Site,Moderate,Rosa Bus,"Kuttam Pokuna, Anuradhapura"
11,48000,City,Moderate,Rosa Bus,"Negombo City, Negombo"
7,68000,Mountains,Cool,Rosa Bus,"Ravana Falls, Ella"
12,180000,Forest,Tropical,Rosa Bus,"Sinharaja Forest Reserve, Deniyaya"
8,60000,Beach,Warm,Public Transport,"Polhena Beach, Matara"
6,70000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
1,10000,National Park,Warm,Van,"Hikkaduwa National Park, Hikkaduwa"
25,200000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
10,110000,Mountains,Cool,Rosa Bus,"Thotupola Kanda, Nuwara Eliya"
21,170000,Historical Site,Moderate,Rosa Bus,"Anuradhapura, Anuradhapura"
20,100000,Desert,Hot,Bikes,"Delft Island, Jaffna"
17,19000,Desert,Hot,Bikes,"Delft Island, Jaffna"
2,25000,National Park,Warm,Rosa Bus,"Wilpattu National Park, Wilpattu"
1,120000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
21,180000,Beach,Warm,Bikes,"Weligama Beach, Weligama"
3,40000,National Park,Warm,Van,"Yala National Park, Yala"
12,130000,Beach,Warm,Van,"Rekawa Beach, Hambantota"
21,100000,Beach,Warm,Rosa Bus,"Mirissa Beach, Mirissa"
2,110000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
5,140000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
5,30000,Historical Site,Moderate,Rosa Bus,"Jetavanaramaya, Anuradhapura"
11,100000,Mountains,Cool,Bikes,"Ella Rock, Ella"
14,160000,Forest,Tropical,Bikes,"Kottawa Arboretum, Galle"
9,120000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
19,44000,Historical Site,Moderate,Public Transport,"Thuparamaya, Anuradhapura"
9,85000,Lakeside,Moderate,Van,"Kandy Lake, Kandy"
11,170000,Forest,Tropical,Public Transport,"Meemure, Kandy"
7,45000,Lakeside,Moderate,Van,"Bolgoda Lake, Colombo"
22,120000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
8,100000,Beach,Warm,Bikes,"Passekudah Beach, Passekudah"
21,110000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
3,8000,National Park,Warm,Rosa Bus,"Wilpattu National Park, Wilpattu"
22,58000,Historical Site,Moderate,Public Transport,"Jetavanaramaya, Anuradhapura"
23,150000,National Park,Warm,Rosa Bus,"Udawalawe National Park, Udawalawe"
17,48000,Beach,Warm,Rosa Bus,"Mount Lavinia Beach, Mount Lavinia"
13,33000,Lakeside,Moderate,Rosa Bus,"Kala Wewa, Anuradhapura"
13,120000,Forest,Tropical,Public Transport,"Badulla Forest, Badulla"
1,5000,Beach,Warm,Public Transport,"Mount Lavinia Beach, Mount Lavinia"
16,38000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
5,170000,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
24,180000,City,Moderate,Bikes,"Badulla City, Badulla"
1,55000,Beach,Warm,Car,"Negombo Beach, Negombo"
14,75000,Mountains,Cool,Rosa Bus,"Adam's Peak, Hatton"
21,200000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
10,200000,Beach,Warm,Van,"Negombo Beach, Negombo"
12,35000,Historical Site,Moderate,Rosa Bus,"Aluvihare Rock Temple, Matale"
6,150000,Mountains,Cool,Bikes,"Knuckles Mountain Range, Matale"
2,44000,Beach,Warm,Car,"Tangalle Beach, Tangalle"
17,68000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
22,58000,Beach,Warm,Rosa Bus,"Unawatuna Beach, Galle"
3,60000,Lakeside,Moderate,Bikes,"Kandy Lake, Kandy"
4,40000,City,Warm,Car,"Trincomalee City, Trincomalee"
2,38000,Mountains,Cool,Public Transport,"Knuckles Mountain Range, Matale"
14,80000,City,Moderate,Rosa Bus,"Ratnapura City, Ratnapura"
1,65000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
14,45000,Mountains,Cool,Public Transport,"Thotupola Kanda, Nuwara Eliya"
2,2800,National Park,Cool,Van,"Galway�s Land National Park, Nuwara Eliya"
14,28000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
12,140000,Mountains,Cool,Rosa Bus,"Ravana Falls, Ella"
16,60000,National Park,Warm,Public Transport,"Yala National Park, Yala"
5,190000,Desert,Hot,Bikes,"Delft Island, Jaffna"
14,38000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
23,160000,Beach,Warm,Public Transport,"Passekudah Beach, Passekudah"
8,160000,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
2,28000,Beach,Warm,Van,"Uppuveli Beach, Trincomalee"
17,58000,Beach,Warm,Rosa Bus,"Rekawa Beach, Hambantota"
18,55000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
8,17000,Desert,Hot,Van,"Delft Island, Jaffna"
23,68000,Lakeside,Moderate,Public Transport,"Beira Lake, Colombo"
24,44000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
20,33000,City,Moderate,Rosa Bus,"Galle City, Galle"
25,48000,Mountains,Cool,Rosa Bus,"Thotupola Kanda, Nuwara Eliya"
15,130000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
8,140000,City,Cool,Rosa Bus,"Nuwara Eliya City, Nuwara Eliya"
5,44000,National Park,Warm,Car,"Udawalawe National Park, Udawalawe"
25,40000,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
15,19000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
24,120000,Mountains,Warm,Bikes,"Pidurangala, Sigiriya"
4,6000,Desert,Hot,Bikes,"Delft Island, Jaffna"
3,58000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
2,2400,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
25,30000,Lakeside,Moderate,Public Transport,"Kala Wewa, Anuradhapura"
19,38000,Beach,Warm,Public Transport,"Unawatuna Beach, Galle"
8,25000,National Park,Warm,Van,"Hikkaduwa National Park, Hikkaduwa"
13,80000,Mountains,Cool,Bikes,"Knuckles Mountain Range, Kandy"
21,45000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
9,40000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
25,28000,Forest,Tropical,Rosa Bus,"Kottawa Arboretum, Galle"
4,110000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
24,35000,City,Warm,Bikes,"Trincomalee City, Trincomalee"
9,90000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
2,45000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
10,75000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
4,35000,Beach,Warm,Van,"Jungle Beach, Unawatuna"
2,12000,Forest,Tropical,Car,"Bopath Ella, Kuruwita"
4,120000,Lakeside,Moderate,Bikes,"Victoria Reservoir, Kandy"
2,35000,Lakeside,Moderate,Car,"Bolgoda Lake, Colombo"
19,70000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
9,20000,Historical Site,Moderate,Public Transport,"Anuradhapura, Anuradhapura"
12,55000,Mountains,Cool,Rosa Bus,"Adam's Peak, Hatton"
23,170000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
24,100000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
11,33000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
5,68000,Historical Site,Moderate,Rosa Bus,"Kuttam Pokuna, Anuradhapura"
8,200000,Mountains,Cool,Public Transport,"Ravana Falls, Ella"
1,2600,Beach,Warm,Public Transport,"Hikkaduwa Beach, Hikkaduwa"
12,180000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
13,22000,Lakeside,Moderate,Public Transport,"Bolgoda Lake, Colombo"
25,45000,Mountains,Cool,Rosa Bus,"Baker's Falls, Horton Plains"
19,90000,Beach,Warm,Bikes,"Mirissa Beach, Mirissa"
12,200000,Desert,Hot,Van,"Delft Island, Jaffna"
14,58000,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
4,90000,Mountains,Cool,Van,"Adam's Peak, Hatton"
3,7000,Forest,Tropical,Van,"Badulla Forest, Badulla"
7,13000,Desert,Hot,Bikes,"Delft Island, Jaffna"
6,15000,Mountains,Cool,Van,"Thotupola Kanda, Nuwara Eliya"
8,25000,National Park,Warm,Rosa Bus,"Wasgamuwa National Park, Wasgamuwa"
24,75000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
7,16000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
4,8000,Mountains,Cool,Van,"Little Adam's Peak, Ella"
7,15000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
15,90000,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
19,90000,Beach,Warm,Bikes,"Mount Lavinia Beach, Mount Lavinia"
1,1600,Lakeside,Moderate,Bikes,"Beira Lake, Colombo"
20,48000,Mountains,Warm,Public Transport,"Ritigala, Ritigala"
4,33000,Lakeside,Moderate,Rosa Bus,"Sorabora Wewa, Mahiyanganaya"
24,35000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
17,50000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
25,45000,Historical Site,Moderate,Public Transport,"Anuradhapura, Anuradhapura"
2,2500,Historical Site,Moderate,Van,"Aluvihare Rock Temple, Matale"
23,55000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
15,35000,Forest,Tropical,Bikes,"Hiyare Reservoir, Galle"
11,100000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
1,22000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
3,25000,Beach,Warm,Rosa Bus,"Arugam Bay, Ampara"
14,90000,Mountains,Cool,Bikes,"Diyatalawa, Badulla"
20,45000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
22,190000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
12,130000,Forest,Tropical,Rosa Bus,"Hiyare Reservoir, Galle"
10,85000,City,Warm,Bikes,"Trincomalee City, Trincomalee"
3,33000,Lakeside,Moderate,Public Transport,"Beira Lake, Colombo"
3,8000,Lakeside,Moderate,Rosa Bus,"Kala Wewa, Anuradhapura"
10,30000,Mountains,Cool,Bikes,"Horton Plains National Park, Nuwara Eliya"
5,170000,Historical Site,Moderate,Van,"Anuradhapura, Anuradhapura"
25,120000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
22,160000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
4,50000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
9,160000,Forest,Tropical,Van,"Bopath Ella, Kuruwita"
6,48000,City,Moderate,Van,"Galle City, Galle"
1,80000,Desert,Hot,Bikes,"Delft Island, Jaffna"
1,44000,Beach,Warm,Public Transport,"Dickwella Beach, Dickwella"
11,17000,Historical Site,Moderate,Rosa Bus,"Aluvihare Rock Temple, Matale"
1,2300,Beach,Warm,Bikes,"Jungle Beach, Unawatuna"
2,30000,Mountains,Warm,Van,"Pidurangala, Sigiriya"
17,70000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
18,58000,Desert,Hot,Bikes,"Delft Island, Jaffna"
23,160000,Beach,Warm,Rosa Bus,"Weligama Beach, Weligama"
2,55000,City,Moderate,Van,"Colombo City, Colombo"
15,38000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
3,140000,Beach,Warm,Public Transport,"Polhena Beach, Matara"
22,33000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
3,35000,Desert,Hot,Bikes,"Delft Island, Jaffna"
15,75000,Mountains,Cool,Rosa Bus,"Little Adam's Peak, Ella"
1,140000,Desert,Hot,Car,"Delft Island, Jaffna"
16,190000,Lakeside,Moderate,Bikes,"Kala Wewa, Anuradhapura"
12,48000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
1,4000,Lakeside,Moderate,Bikes,"Koggala Lake, Koggala"
8,110000,Desert,Hot,Van,"Delft Island, Jaffna"
9,120000,Mountains,Cool,Van,"Baker's Falls, Horton Plains"
10,50000,Lakeside,Moderate,Van,"Koggala Lake, Koggala"
3,11000,Beach,Warm,Van,"Negombo Beach, Negombo"
23,110000,Beach,Warm,Bikes,"Rekawa Beach, Hambantota"
2,2800,National Park,Cool,Van,"Galway�s Land National Park, Nuwara Eliya"
12,170000,Mountains,Cool,Public Transport,"Lipton�s Seat, Haputale"
10,17000,Lakeside,Moderate,Van,"Handapanagala Lake, Wellawaya"
12,40000,Desert,Hot,Bikes,"Delft Island, Jaffna"
22,58000,Beach,Warm,Rosa Bus,"Uppuveli Beach, Trincomalee"
4,45000,Historical Site,Moderate,Van,"Polonnaruwa, Polonnaruwa"
16,68000,Historical Site,Moderate,Public Transport,"Aluvihare Rock Temple, Matale"
8,190000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
23,200000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
4,65000,Beach,Warm,Public Transport,"Uppuveli Beach, Trincomalee"
2,19000,Mountains,Cool,Van,"Lipton�s Seat, Haputale"
8,40000,City,Moderate,Public Transport,"Kurunegala City, Kurunegala"
21,130000,Beach,Warm,Bikes,"Polhena Beach, Matara"
16,75000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
9,18000,Desert,Hot,Bikes,"Delft Island, Jaffna"
8,18000,Historical Site,Moderate,Van,"Kuttam Pokuna, Anuradhapura"
1,2900,Mountains,Cool,Van,"Lipton�s Seat, Haputale"
8,10000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
12,100000,Mountains,Cool,Van,"Adam's Peak, Hatton"
7,75000,Lakeside,Moderate,Van,"Kandy Lake, Kandy"
8,18000,Beach,Warm,Rosa Bus,"Trincomalee Beach, Trincomalee"
4,190000,City,Moderate,Car,"Matara City, Matara"
24,190000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
12,50000,National Park,Warm,Rosa Bus,"Wasgamuwa National Park, Wasgamuwa"
3,50000,Mountains,Cool,Public Transport,"Thotupola Kanda, Nuwara Eliya"
19,33000,Beach,Warm,Public Transport,"Polhena Beach, Matara"
16,140000,Beach,Warm,Rosa Bus,"Tangalle Beach, Tangalle"
9,170000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
17,35000,Mountains,Cool,Public Transport,"Diyatalawa, Badulla"
17,200000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
11,65000,Mountains,Cool,Bikes,"Ella Rock, Ella"
21,100000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
13,170000,City,Hot,Bikes,"Jaffna City, Jaffna"
20,68000,National Park,Warm,Public Transport,"Yala National Park, Yala"
2,60000,Mountains,Cool,Van,"Lipton�s Seat, Haputale"
23,130000,Desert,Hot,Bikes,"Delft Island, Jaffna"
3,35000,City,Moderate,Bikes,"Matara City, Matara"
4,9000,Forest,Tropical,Public Transport,"Badulla Forest, Badulla"
14,160000,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
15,65000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
8,48000,Beach,Warm,Public Transport,"Passekudah Beach, Passekudah"
1,2900,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
9,35000,National Park,Warm,Van,"Gal Oya National Park, Ampara"
16,28000,Beach,Warm,Bikes,"Weligama Beach, Weligama"
4,48000,Forest,Tropical,Car,"Sinharaja Forest Reserve, Deniyaya"
6,58000,Mountains,Cool,Rosa Bus,"Ella Rock, Ella"
16,60000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
22,68000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
1,60000,National Park,Warm,Rosa Bus,"Yala National Park, Yala"
20,110000,Mountains,Cool,Public Transport,"Diyatalawa, Badulla"
23,120000,Historical Site,Moderate,Public Transport,"Anuradhapura, Anuradhapura"
7,160000,Forest,Tropical,Bikes,"Kanneliya Forest Reserve, Galle"
11,48000,City,Moderate,Public Transport,"Badulla City, Badulla"
