Area of Interest,Origin,Destination,Preferred Climate,Number of Travelers,Budget (in LKR),Preferred Accommodation,Trip Duration (days),District
Mountains,Mullaitivu,"Little Adam's Peak, Ella",Cool,11,19000,5-star hotel,1,Badulla
Lakeside,Batticaloa,"Kantale Lake, Trincomalee",Moderate,13,25000,camping,5,Trincomalee
Lakeside,Kilinochchi,"Kala Wewa, Anuradhapura",Moderate,8,18000,2-star hotel,3,Anuradhapura
Lakeside,Kandy,"Beira Lake, Colombo",Moderate,17,46000,other,4,Colombo
Wildlife,Vavuniya,"Hurulu Eco Park, Polonnaruwa",Warm,10,29000,guest houses,3,Polonnaruwa
Wildlife,Polonnaruwa,"Lunugamvehera National Park, Hambantota",Warm,24,121000,other,7,Hambantota
Mountains,Kurunegala,"Knuckles Mountain Range, Matale",Cool,13,216000,5-star hotel,8,Matale
Wildlife,Polonnaruwa,"Wasgomuwa National Park, Matale",Warm,24,129000,guest houses,6,Matale
Cultural,Anuradhapura,"Kataragama Temple, Kataragama",Warm,19,128000,3-star hotel,5,Hambantota
Beach,Badulla,"Marble Beach, Trincomalee",Warm,24,306000,cottage,9,Trincomalee
Wildlife,Polonnaruwa,"Horton Plains National Park, Nuwara Eliya",Cool,14,161000,4-star hotel,6,Nuwara Eliya
Cultural,Matara,"Gangaramaya Temple, Colombo",Warm,6,15000,3-star hotel,2,Colombo
Beach,Kalutara,"Nilaveli Beach, Trincomalee",Warm,9,10000,2-star hotel,1,Trincomalee
Wildlife,Badulla,"Wasgomuwa National Park, Matale",Warm,6,11000,guest houses,2,Matale
Wildlife,Kurunegala,"Wasgamuwa National Park, Matale",Warm,11,90000,cottage,7,Matale
Historical,Colombo,"Anuradhapura Sacred City, Anuradhapura",Warm,15,131000,cottage,7,Anuradhapura
Cultural,Jaffna,"Thuparamaya, Anuradhapura",Warm,1,3000,guest houses,3,Anuradhapura
Mountains,Matara,"Kabaragala, Nawalapitiya",Cool,14,262000,5-star hotel,9,Nuwara Eliya
Lakeside,Ratnapura,"Sembuwatta Lake, Matale",Moderate,12,112000,villa,7,Matale
Forest,Ratnapura,"Meemure, Kandy",Tropical,7,9000,villa,1,Kandy
Lakeside,Ratnapura,"Girithale Wewa, Polonnaruwa",Moderate,13,87000,guest houses,8,Polonnaruwa
Mountains,Matara,"Ravana Falls, Ella",Cool,5,37000,2-star hotel,9,Badulla
Forest,Monaragala,"Kottawa Arboretum, Galle",Tropical,13,183000,5-star hotel,8,Galle
Forest,Galle,"Yagirala Forest Reserve, Kalutara",Tropical,3,5000,other,3,Kalutara
Mountains,Galle,"Thotupola Kanda, Nuwara Eliya",Cool,10,14000,3-star hotel,1,Nuwara Eliya
Historical,Gampaha,"Polonnaruwa Ruins, Polonnaruwa",Warm,24,344000,4-star hotel,8,Polonnaruwa
Cultural,Badulla,"Mihintale, Anuradhapura",Warm,11,79000,villa,5,Anuradhapura
Mountains,Kegalle,"Hunas Falls, Kandy",Cool,22,197000,4-star hotel,5,Kandy
Cultural,Nuwara Eliya,"Thuparamaya, Anuradhapura",Warm,12,12000,2-star hotel,1,Anuradhapura
Historical,Matara,"Ambuluwawa Temple, Gampola",Moderate,10,18000,guest houses,2,Kandy
Wildlife,Matale,"Bundala National Park, Hambantota",Warm,15,192000,5-star hotel,5,Hambantota
Beach,Matara,"Jungle Beach, Unawatuna",Warm,9,83000,guest houses,9,Galle
Lakeside,Badulla,"Kandy Lake, Kandy",Moderate,11,238000,5-star hotel,9,Kandy
Beach,Hambantota,"Jungle Beach, Unawatuna",Warm,24,49000,guest houses,2,Galle
Wildlife,Matara,"Maduru Oya National Park, Polonnaruwa",Warm,21,20000,2-star hotel,1,Polonnaruwa
Beach,Kilinochchi,"Jungle Beach, Unawatuna",Warm,8,6000,other,1,Galle
Mountains,Vavuniya,"Ella Rock, Ella",Cool,23,124000,2-star hotel,7,Badulla
Cultural,Colombo,"Mihintale, Anuradhapura",Warm,12,12000,2-star hotel,1,Anuradhapura
Cultural,Kalutara,"Temple of the Tooth, Kandy",Moderate,22,207000,3-star hotel,7,Kandy
Mountains,Ampara,"Pidurangala, Sigiriya",Warm,1,4000,5-star hotel,2,Matale
Wildlife,Kilinochchi,"Yala National Park, Hambantota",Warm,18,69000,other,5,Hambantota
Forest,Matara,"Bopath Ella, Kuruwita",Tropical,22,139000,2-star hotel,9,Ratnapura
Forest,Trincomalee,"Hiyare Reservoir, Galle",Tropical,5,28000,guest houses,8,Galle
Lakeside,Kilinochchi,"Randenigala Dam, Kandy",Moderate,1,3000,camping,7,Kandy
Beach,Vavuniya,"Negombo Beach, Negombo",Warm,10,27000,other,4,Gampaha
Beach,Ampara,"Beruwala Beach, Beruwala",Warm,2,6000,camping,6,Kalutara
Forest,Hambantota,"Meemure, Kandy",Tropical,12,39000,cottage,3,Kandy
Mountains,Monaragala,"Ella Rock, Ella",Cool,22,203000,3-star hotel,8,Badulla
Wildlife,Gampaha,"Lunugamvehera National Park, Hambantota",Warm,16,31000,4-star hotel,1,Hambantota
Beach,Jaffna,"Dickwella Beach, Dickwella",Warm,16,251000,5-star hotel,7,Matara
Beach,Matara,"Mount Lavinia Beach, Mount Lavinia",Warm,12,65000,4-star hotel,3,Colombo
Forest,Monaragala,"Namal Oya Forest, Ampara",Tropical,16,233000,5-star hotel,7,Ampara
Cultural,Polonnaruwa,"Mihintale, Anuradhapura",Warm,5,65000,3-star hotel,9,Anuradhapura
Forest,Kegalle,"Kottawa Arboretum, Galle",Tropical,15,47000,villa,3,Galle
Forest,Galle,"Dunhinda Falls, Badulla",Tropical,19,79000,guest houses,5,Badulla
Beach,Kalutara,"Passekudah Beach, Passekudah",Warm,24,152000,cottage,4,Batticaloa
Mountains,Ampara,"Ravana Falls, Ella",Cool,6,30000,other,8,Badulla
Cultural,Kalutara,"Sigiriya, Sigiriya",Warm,19,88000,other,6,Matale
Beach,Kegalle,"Trincomalee Beach, Trincomalee",Warm,19,164000,5-star hotel,3,Trincomalee
Historical,Mannar,"Yapahuwa Rock Fortress, Yapahuwa",Warm,9,11000,villa,1,Kurunegala
Beach,Colombo,"Hikkaduwa Beach, Hikkaduwa",Warm,24,69000,3-star hotel,2,Galle
Historical,Trincomalee,"Sigiriya, Sigiriya",Warm,17,26000,villa,1,Matale
Lakeside,Trincomalee,"Bolgoda Lake, Colombo",Moderate,24,70000,camping,7,Colombo
Lakeside,Colombo,"Kantale Lake, Trincomalee",Moderate,14,11000,camping,2,Trincomalee
Forest,Trincomalee,"Kanneliya Forest Reserve, Galle",Tropical,22,114000,other,9,Galle
Historical,Kilinochchi,"Thuparamaya, Anuradhapura",Warm,6,43000,villa,5,Anuradhapura
Forest,Polonnaruwa,"Yagirala Forest Reserve, Kalutara",Tropical,17,52000,guest houses,4,Kalutara
Cultural,Mannar,"Ruwanwelisaya, Anuradhapura",Warm,10,77000,4-star hotel,4,Anuradhapura
Cultural,Polonnaruwa,"Anuradhapura Sacred City, Anuradhapura",Warm,18,156000,3-star hotel,6,Anuradhapura
Historical,Vavuniya,"Sri Maha Bodhi, Anuradhapura",Warm,22,106000,2-star hotel,5,Anuradhapura
Beach,Galle,"Weligama Beach, Weligama",Warm,12,259000,5-star hotel,9,Matara
Wildlife,Trincomalee,"Horton Plains National Park, Nuwara Eliya",Cool,9,9000,guest houses,1,Nuwara Eliya
Beach,Kandy,"Polhena Beach, Matara",Warm,15,81000,3-star hotel,4,Matara
Wildlife,Polonnaruwa,"Lunugamvehera National Park, Hambantota",Warm,15,86000,villa,4,Hambantota
Mountains,Hambantota,"Knuckles Mountain Range, Matale",Cool,17,169000,villa,8,Matale
Mountains,Colombo,"Pidurangala, Sigiriya",Warm,7,79000,4-star hotel,8,Matale
Forest,Ratnapura,"Namal Oya Forest, Ampara",Tropical,2,20000,villa,8,Ampara
Forest,Galle,"Sinharaja Forest Reserve, Deniyaya",Tropical,4,25000,guest houses,7,Matara
Mountains,Puttalam,"Thotupola Kanda, Nuwara Eliya",Cool,21,91000,camping,9,Nuwara Eliya
Wildlife,Kalutara,"Yala National Park, Hambantota",Warm,15,104000,other,9,Hambantota
Beach,Badulla,"Uppuveli Beach, Trincomalee",Warm,10,35000,guest houses,3,Trincomalee
Lakeside,Kilinochchi,"Handapanagala Lake, Wellawaya",Moderate,19,159000,villa,8,Monaragala
Historical,Badulla,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,9,6000,other,1,Colombo
Cultural,Badulla,"Ambuluwawa Temple, Gampola",Moderate,19,102000,guest houses,6,Kandy
Lakeside,Kalutara,"Bolgoda Lake, Colombo",Moderate,9,39000,other,7,Colombo
Mountains,Nuwara Eliya,"Pidurangala, Sigiriya",Warm,20,53000,other,5,Matale
Wildlife,Anuradhapura,"Lunugamvehera National Park, Hambantota",Warm,5,10000,camping,4,Hambantota
Forest,Kandy,"Kithulgala Forest Reserve, Kegalle",Tropical,7,45000,cottage,6,Kegalle
Historical,Galle,"Thuparamaya, Anuradhapura",Warm,13,94000,5-star hotel,3,Anuradhapura
Lakeside,Nuwara Eliya,"Victoria Dam, Kandy",Moderate,6,28000,cottage,4,Kandy
Lakeside,Matara,"Gal Oya, Ampara",Moderate,22,55000,2-star hotel,3,Ampara
Wildlife,Polonnaruwa,"Wilpattu National Park, Anuradhapura",Warm,15,245000,5-star hotel,6,Anuradhapura
Mountains,Kilinochchi,"Lipton’s Seat, Haputale",Cool,17,54000,other,6,Badulla
Beach,Colombo,"Weligama Beach, Weligama",Warm,17,16000,2-star hotel,1,Matara
Mountains,Gampaha,"Horton Plains National Park, Nuwara Eliya",Cool,9,39000,3-star hotel,3,Nuwara Eliya
Wildlife,Matara,"Yala National Park, Hambantota",Warm,20,106000,cottage,4,Hambantota
Forest,Colombo,"Kottawa Arboretum, Galle",Tropical,15,11000,guest houses,1,Galle
Historical,Nuwara Eliya,"Jethawanaramaya, Anuradhapura",Warm,22,21000,guest houses,1,Anuradhapura
Wildlife,Vavuniya,"Pigeon Island National Park, Trincomalee",Warm,4,2000,camping,1,Trincomalee
Beach,Kalutara,"Jungle Beach, Unawatuna",Warm,19,73000,other,5,Galle
Cultural,Mannar,"Anuradhapura Sacred City, Anuradhapura",Warm,23,199000,3-star hotel,6,Anuradhapura
Cultural,Gampaha,"Munneswaram Temple, Chilaw",Warm,21,8000,camping,1,Puttalam
Beach,Trincomalee,"Dickwella Beach, Dickwella",Warm,7,94000,5-star hotel,6,Matara
Lakeside,Matale,"Tissa Wewa, Tissamaharama",Moderate,22,118000,guest houses,7,Hambantota
Beach,Anuradhapura,"Mount Lavinia Beach, Mount Lavinia",Warm,23,54000,cottage,2,Colombo
Forest,Monaragala,"Kithulgala Forest Reserve, Kegalle",Tropical,3,23000,cottage,7,Kegalle
Lakeside,Badulla,"Handapanagala Lake, Wellawaya",Moderate,14,20000,camping,4,Monaragala
Wildlife,Puttalam,"Udawalawe National Park, Ratnapura",Warm,15,22000,3-star hotel,1,Ratnapura
Cultural,Hambantota,"Ambuluwawa Temple, Gampola",Moderate,16,72000,5-star hotel,2,Kandy
Forest,Ampara,"Dunhinda Falls, Badulla",Tropical,9,7000,2-star hotel,1,Badulla
Mountains,Gampaha,"Knuckles Mountain Range, Matale",Cool,23,86000,other,6,Matale
Lakeside,Colombo,"Victoria Dam, Kandy",Moderate,10,82000,cottage,7,Kandy
Cultural,Kegalle,"Ruwanwelisaya, Anuradhapura",Warm,9,121000,4-star hotel,7,Anuradhapura
Forest,Mullaitivu,"Kanneliya Forest Reserve, Galle",Tropical,9,14000,camping,4,Galle
Forest,Kalutara,"Kithulgala Forest Reserve, Kegalle",Tropical,2,27000,4-star hotel,8,Kegalle
Wildlife,Vavuniya,"Gal Oya National Park, Ampara",Warm,6,46000,5-star hotel,3,Ampara
Historical,Ratnapura,"Yapahuwa Rock Fortress, Yapahuwa",Warm,1,4000,cottage,4,Kurunegala
Beach,Vavuniya,"Nilaveli Beach, Trincomalee",Warm,3,41000,villa,8,Trincomalee
Cultural,Ampara,"Sigiriya, Sigiriya",Warm,13,179000,villa,9,Matale
Mountains,Anuradhapura,"Pidurangala, Sigiriya",Warm,6,19000,camping,9,Matale
Beach,Matara,"Rekawa Beach, Hambantota",Warm,18,323000,5-star hotel,8,Hambantota
Lakeside,Matara,"Sorabora Wewa, Mahiyanganaya",Moderate,1,6000,guest houses,8,Badulla
Lakeside,Anuradhapura,"Girithale Wewa, Polonnaruwa",Moderate,14,76000,cottage,5,Polonnaruwa
Forest,Kurunegala,"Kithulgala Forest Reserve, Kegalle",Tropical,22,220000,4-star hotel,6,Kegalle
Historical,Anuradhapura,"Polonnaruwa Ruins, Polonnaruwa",Warm,2,21000,cottage,9,Polonnaruwa
Mountains,Matara,"Lipton’s Seat, Haputale",Cool,22,39000,5-star hotel,1,Badulla
Mountains,Gampaha,"Devon Falls, Nuwara Eliya",Cool,9,12000,3-star hotel,1,Nuwara Eliya
Cultural,Jaffna,"Munneswaram Temple, Chilaw",Warm,16,146000,villa,8,Puttalam
Lakeside,Badulla,"Bolgoda Lake, Colombo",Moderate,24,100000,guest houses,5,Colombo
Mountains,Badulla,"Devon Falls, Nuwara Eliya",Cool,12,194000,4-star hotel,9,Nuwara Eliya
Beach,Kilinochchi,"Nilaveli Beach, Trincomalee",Warm,5,34000,villa,4,Trincomalee
Wildlife,Colombo,"Pigeon Island National Park, Trincomalee",Warm,15,104000,4-star hotel,3,Trincomalee
Wildlife,Hambantota,"Gal Oya National Park, Ampara",Warm,6,92000,5-star hotel,6,Ampara
Wildlife,Vavuniya,"Hurulu Eco Park, Polonnaruwa",Warm,8,70000,cottage,7,Polonnaruwa
Beach,Kegalle,"Hikkaduwa Beach, Hikkaduwa",Warm,18,78000,other,6,Galle
Wildlife,Mullaitivu,"Gal Oya National Park, Ampara",Warm,24,64000,cottage,2,Ampara
Mountains,Ratnapura,"Knuckles Mountain Range, Matale",Cool,12,117000,cottage,9,Matale
Cultural,Polonnaruwa,"Dambulla Cave Temple, Dambulla",Warm,13,17000,3-star hotel,1,Matale
Forest,Kalutara,"Meemure, Kandy",Tropical,2,7000,villa,3,Kandy
Wildlife,Puttalam,"Gal Oya National Park, Ampara",Warm,9,46000,guest houses,5,Ampara
Cultural,Matara,"Mihintale, Anuradhapura",Warm,7,34000,guest houses,5,Anuradhapura
Lakeside,Jaffna,"Bolgoda Lake, Colombo",Moderate,13,81000,villa,5,Colombo
Forest,Kilinochchi,"Meemure, Kandy",Tropical,12,10000,2-star hotel,1,Kandy
Lakeside,Monaragala,"Gal Oya, Ampara",Moderate,19,55000,camping,7,Ampara
Cultural,Nuwara Eliya,"Dambulla Cave Temple, Dambulla",Warm,9,48000,guest houses,6,Matale
Cultural,Anuradhapura,"Munneswaram Temple, Chilaw",Warm,24,55000,3-star hotel,2,Puttalam
Mountains,Kurunegala,"Kirigalpotta, Nuwara Eliya",Cool,24,69000,camping,6,Nuwara Eliya
Forest,Matale,"Knuckles Forest Reserve, Kandy",Tropical,8,100000,4-star hotel,7,Kandy
Historical,Hambantota,"Yapahuwa Rock Fortress, Yapahuwa",Warm,21,70000,4-star hotel,2,Kurunegala
Mountains,Matale,"Diyatalawa, Badulla",Cool,6,104000,5-star hotel,9,Badulla
Mountains,Mannar,"Nine Arches Bridge, Ella",Cool,3,14000,3-star hotel,4,Badulla
Historical,Kandy,"Thuparamaya, Anuradhapura",Warm,13,37000,camping,6,Anuradhapura
Beach,Matara,"Arugam Bay, Ampara",Warm,4,104000,5-star hotel,9,Ampara
Beach,Trincomalee,"Mirissa Beach, Mirissa",Warm,16,122000,villa,5,Matara
Cultural,Puttalam,"Gangaramaya Temple, Colombo",Warm,23,77000,camping,8,Colombo
Historical,Anuradhapura,"Sigiriya, Sigiriya",Warm,16,64000,cottage,3,Matale
Lakeside,Anuradhapura,"Kandy Lake, Kandy",Moderate,20,173000,3-star hotel,6,Kandy
Cultural,Polonnaruwa,"Sigiriya, Sigiriya",Warm,23,318000,3-star hotel,9,Matale
Lakeside,Puttalam,"Girithale Wewa, Polonnaruwa",Moderate,6,37000,3-star hotel,5,Polonnaruwa
Mountains,Ratnapura,"Kabaragala, Nawalapitiya",Cool,17,37000,cottage,2,Nuwara Eliya
Cultural,Puttalam,"Sri Maha Bodhi, Anuradhapura",Warm,3,12000,4-star hotel,2,Anuradhapura
Lakeside,Batticaloa,"Victoria Dam, Kandy",Moderate,10,108000,4-star hotel,6,Kandy
Mountains,Matara,"Knuckles Mountain Range, Matale",Cool,4,3000,2-star hotel,1,Matale
Mountains,Batticaloa,"Knuckles Mountain Range, Matale",Cool,14,23000,guest houses,2,Matale
Cultural,Ratnapura,"Thuparamaya, Anuradhapura",Warm,17,122000,3-star hotel,5,Anuradhapura
Historical,Kurunegala,"Sigiriya, Sigiriya",Warm,18,192000,villa,7,Matale
Beach,Kandy,"Negombo Beach, Negombo",Warm,22,444000,5-star hotel,9,Gampaha
Forest,Puttalam,"Kanneliya Forest Reserve, Galle",Tropical,6,14000,3-star hotel,2,Galle
Historical,Ampara,"Mihintale, Anuradhapura",Warm,22,127000,2-star hotel,6,Anuradhapura
Mountains,Kandy,"Adam's Peak, Hatton",Cool,11,55000,cottage,5,Nuwara Eliya
Lakeside,Badulla,"Tissa Wewa, Tissamaharama",Moderate,10,108000,4-star hotel,7,Hambantota
Forest,Kegalle,"Badulla Forest, Badulla",Tropical,20,100000,cottage,5,Badulla
Cultural,Galle,"Mihintale, Anuradhapura",Warm,24,120000,cottage,4,Anuradhapura
Forest,Anuradhapura,"Knuckles Forest Reserve, Kandy",Tropical,5,23000,cottage,4,Kandy
Beach,Puttalam,"Polhena Beach, Matara",Warm,4,32000,villa,6,Matara
Historical,Badulla,"Sri Maha Bodhi, Anuradhapura",Warm,22,82000,cottage,3,Anuradhapura
Forest,Colombo,"Kottawa Arboretum, Galle",Tropical,8,17000,other,4,Galle
Cultural,Mannar,"Polonnaruwa Ruins, Polonnaruwa",Warm,24,112000,cottage,4,Polonnaruwa
Wildlife,Vavuniya,"Gal Oya National Park, Ampara",Warm,14,14000,guest houses,1,Ampara
Cultural,Kurunegala,"Galle Fort, Galle",Warm,10,152000,4-star hotel,7,Galle
Lakeside,Batticaloa,"Nuwara Wewa, Anuradhapura",Moderate,8,9000,3-star hotel,1,Anuradhapura
Historical,Nuwara Eliya,"Abhayagiri Dagaba, Anuradhapura",Warm,2,23000,4-star hotel,6,Anuradhapura
Historical,Trincomalee,"Ruwanwelisaya, Anuradhapura",Warm,15,36000,camping,5,Anuradhapura
Wildlife,Kalutara,"Hurulu Eco Park, Polonnaruwa",Warm,16,61000,guest houses,4,Polonnaruwa
Cultural,Mannar,"Mihintale, Anuradhapura",Warm,15,101000,guest houses,7,Anuradhapura
Mountains,Kurunegala,"Demodara Loop, Ella",Cool,1,3000,villa,3,Badulla
Cultural,Ratnapura,"Mihintale, Anuradhapura",Warm,21,161000,guest houses,8,Anuradhapura
Mountains,Colombo,"Demodara Loop, Ella",Cool,1,5000,other,9,Badulla
Forest,Matale,"Kanneliya Forest Reserve, Galle",Tropical,15,104000,3-star hotel,6,Galle
Mountains,Kegalle,"Baker's Falls, Horton Plains",Cool,19,73000,4-star hotel,2,Nuwara Eliya
Lakeside,Kilinochchi,"Beira Lake, Colombo",Moderate,18,36000,other,3,Colombo
Wildlife,Galle,"Bundala National Park, Hambantota",Warm,7,38000,other,7,Hambantota
Mountains,Anuradhapura,"Kirigalpotta, Nuwara Eliya",Cool,11,84000,4-star hotel,4,Nuwara Eliya
Historical,Ratnapura,"Galle Fort, Galle",Warm,8,78000,2-star hotel,9,Galle
Forest,Gampaha,"Kottawa Arboretum, Galle",Tropical,11,23000,camping,6,Galle
Mountains,Batticaloa,"Diyatalawa, Badulla",Cool,24,82000,villa,3,Badulla
Forest,Polonnaruwa,"Kottawa Arboretum, Galle",Tropical,7,39000,2-star hotel,8,Galle
Wildlife,Polonnaruwa,"Wilpattu National Park, Anuradhapura",Warm,19,188000,cottage,7,Anuradhapura
Lakeside,Jaffna,"Kantale Lake, Trincomalee",Moderate,7,67000,5-star hotel,5,Trincomalee
Historical,Colombo,"Dambulla Cave Temple, Dambulla",Warm,6,27000,2-star hotel,5,Matale
Lakeside,Batticaloa,"Sorabora Wewa, Mahiyanganaya",Moderate,6,62000,villa,9,Badulla
Mountains,Ampara,"Pidurangala, Sigiriya",Warm,8,14000,5-star hotel,1,Matale
Lakeside,Badulla,"Victoria Dam, Kandy",Moderate,15,134000,4-star hotel,5,Kandy
Wildlife,Mullaitivu,"Udawalawe National Park, Ratnapura",Warm,22,143000,other,9,Ratnapura
Lakeside,Galle,"Beira Lake, Colombo",Moderate,3,24000,guest houses,9,Colombo
Mountains,Nuwara Eliya,"Ravana Falls, Ella",Cool,2,3000,guest houses,2,Badulla
Historical,Kalutara,"Sigiriya, Sigiriya",Warm,14,93000,cottage,5,Matale
Lakeside,Badulla,"Randenigala Dam, Kandy",Moderate,1,9000,5-star hotel,4,Kandy
Cultural,Hambantota,"Munneswaram Temple, Chilaw",Warm,16,61000,guest houses,5,Puttalam
Beach,Matara,"Hikkaduwa Beach, Hikkaduwa",Warm,7,60000,guest houses,9,Galle
Lakeside,Kandy,"Nuwara Wewa, Anuradhapura",Moderate,13,134000,villa,9,Anuradhapura
Beach,Polonnaruwa,"Marble Beach, Trincomalee",Warm,2,3000,villa,1,Trincomalee
Cultural,Kegalle,"Kataragama Temple, Kataragama",Warm,4,5000,camping,3,Hambantota
Wildlife,Badulla,"Wilpattu National Park, Anuradhapura",Warm,13,71000,5-star hotel,2,Anuradhapura
Wildlife,Mullaitivu,"Yala National Park, Hambantota",Warm,16,262000,4-star hotel,8,Hambantota
Forest,Matale,"Kithulgala Forest Reserve, Kegalle",Tropical,13,146000,3-star hotel,9,Kegalle
Mountains,Galle,"Little Adam's Peak, Ella",Cool,4,11000,other,5,Badulla
Historical,Batticaloa,"Sigiriya, Sigiriya",Warm,23,47000,camping,4,Matale
Lakeside,Badulla,"Bolgoda Lake, Colombo",Moderate,1,6000,cottage,6,Colombo
Mountains,Trincomalee,"Horton Plains National Park, Nuwara Eliya",Cool,22,137000,cottage,5,Nuwara Eliya
Cultural,Kandy,"Lovamahapaya, Anuradhapura",Warm,22,190000,guest houses,9,Anuradhapura
Historical,Vavuniya,"Galle Fort, Galle",Warm,3,15000,3-star hotel,3,Galle
Cultural,Jaffna,"Anuradhapura Sacred City, Anuradhapura",Warm,22,148000,2-star hotel,7,Anuradhapura
Forest,Vavuniya,"Namal Oya Forest, Ampara",Tropical,14,23000,guest houses,2,Ampara
Forest,Hambantota,"Sinharaja Forest Reserve, Deniyaya",Tropical,19,152000,villa,6,Matara
Forest,Vavuniya,"Sinharaja Forest Reserve, Deniyaya",Tropical,24,258000,4-star hotel,6,Matara
Lakeside,Nuwara Eliya,"Kandy Lake, Kandy",Moderate,3,46000,4-star hotel,8,Kandy
Mountains,Mannar,"Kabaragala, Nawalapitiya",Cool,15,200000,4-star hotel,8,Nuwara Eliya
Lakeside,Anuradhapura,"Sembuwatta Lake, Matale",Moderate,11,88000,villa,6,Matale
Historical,Monaragala,"Thuparamaya, Anuradhapura",Warm,21,181000,3-star hotel,6,Anuradhapura
Historical,Vavuniya,"Isurumuniya, Anuradhapura",Warm,11,21000,4-star hotel,1,Anuradhapura
Wildlife,Nuwara Eliya,"Lunugamvehera National Park, Hambantota",Warm,19,55000,guest houses,3,Hambantota
Lakeside,Monaragala,"Madu River, Balapitiya",Moderate,18,77000,villa,3,Galle
Historical,Matara,"Jethawanaramaya, Anuradhapura",Warm,17,110000,other,9,Anuradhapura
Wildlife,Gampaha,"Pigeon Island National Park, Trincomalee",Warm,1,4000,other,5,Trincomalee
Lakeside,Colombo,"Girithale Wewa, Polonnaruwa",Moderate,12,50000,5-star hotel,2,Polonnaruwa
Beach,Polonnaruwa,"Jungle Beach, Unawatuna",Warm,17,104000,2-star hotel,6,Galle
Beach,Kegalle,"Hikkaduwa Beach, Hikkaduwa",Warm,18,69000,2-star hotel,4,Galle
Beach,Anuradhapura,"Uppuveli Beach, Trincomalee",Warm,6,3000,camping,1,Trincomalee
Forest,Badulla,"Kanneliya Forest Reserve, Galle",Tropical,10,69000,2-star hotel,9,Galle
Lakeside,Batticaloa,"Madu River, Balapitiya",Moderate,7,134000,5-star hotel,8,Galle
Historical,Matara,"Munneswaram Temple, Chilaw",Warm,4,3000,guest houses,1,Puttalam
Forest,Polonnaruwa,"Sinharaja Forest Reserve, Deniyaya",Tropical,19,127000,villa,5,Matara
Mountains,Kalutara,"Ravana Falls, Ella",Cool,14,23000,2-star hotel,2,Badulla
Lakeside,Gampaha,"Gal Oya, Ampara",Moderate,17,106000,5-star hotel,3,Ampara
Historical,Hambantota,"Yapahuwa Rock Fortress, Yapahuwa",Warm,18,134000,villa,6,Kurunegala
Forest,Mullaitivu,"Sinharaja Forest Reserve, Deniyaya",Tropical,8,115000,4-star hotel,8,Matara
Cultural,Ratnapura,"Sigiriya, Sigiriya",Warm,10,51000,5-star hotel,2,Matale
Lakeside,Anuradhapura,"Bolgoda Lake, Colombo",Moderate,4,60000,4-star hotel,9,Colombo
Historical,Jaffna,"Mihintale, Anuradhapura",Warm,15,56000,cottage,3,Anuradhapura
Mountains,Kandy,"Devon Falls, Nuwara Eliya",Cool,17,34000,other,3,Nuwara Eliya
Mountains,Gampaha,"Pidurangala, Sigiriya",Warm,3,14000,other,9,Matale
Mountains,Kurunegala,"Thotupola Kanda, Nuwara Eliya",Cool,9,69000,2-star hotel,8,Nuwara Eliya
Beach,Colombo,"Nilaveli Beach, Trincomalee",Warm,6,93000,3-star hotel,9,Trincomalee
